TransactionID,feature_name,shap_value,feature_value
3000001,V125,0.54,13.99
3000001,D90,0.8,14.34
3000001,P_emaildomain,0.81,mobile
3000002,P_emaildomain,0.41,mobile
3000002,V258,0.78,14.39
3000003,C33,0.75,1.69
3000003,P_emaildomain,0.36,mobile
3000004,TransactionAmt,1.49,1117.6
3000004,C118,0.18,11.82
3000004,C164,0.27,15.65
3000005,C150,0.84,11.43
3000005,P_emaildomain,0.79,mobile
3000006,P_emaildomain,0.35,mobile
3000006,V37,0.56,13.44
3000007,C319,1.48,2.15
3000007,P_emaildomain,0.69,mobile
3000008,C274,1.53,6.34
3000008,P_emaildomain,1.51,mobile
3000009,TransactionAmt,1.44,164.24
3000009,C287,0.9,17.87
3000010,DeviceType,0.69,mobile
3000010,P_emaildomain,1.51,mobile
3000010,DeviceType,0.37,mobile
3000010,P_emaildomain,0.43,mobile
3000011,V109,0.36,10.01
3000011,P_emaildomain,1.13,mobile
3000012,P_emaildomain,0.99,mobile
3000012,P_emaildomain,1.22,mobile
3000013,TransactionAmt,0.59,19.25
3000013,D173,0.57,19.11
3000013,C170,1.07,11.1
3000013,DeviceType,1.55,mobile
3000014,V317,0.83,16.09
3000014,D7,1.35,2.18
3000015,P_emaildomain,1.41,mobile
3000015,C99,0.77,7.48
3000016,D295,0.51,9.08
3000016,P_emaildomain,0.3,mobile
3000016,P_emaildomain,1.35,mobile
3000017,P_emaildomain,0.56,mobile
3000017,P_emaildomain,0.23,mobile
3000018,P_emaildomain,1.14,mobile
3000018,P_emaildomain,1.42,mobile
3000019,P_emaildomain,0.51,mobile
3000019,V322,0.69,0.99
3000019,C303,0.23,16.67
3000019,V234,1.46,16.87
3000020,V272,1.08,15.59
3000020,D46,0.9,10.72
3000021,D266,0.54,12.79
3000021,P_emaildomain,0.49,mobile
3000021,P_emaildomain,0.7,mobile
3000021,C80,1.48,18.98
3000022,D112,1.38,10.71
3000022,V273,1.07,10.65
3000023,V12,1.4,13.9
3000023,TransactionAmt,1.2,57.73
3000024,P_emaildomain,1.54,mobile
3000024,C202,1.3,15.65
3000024,V86,0.29,11.8
3000025,P_emaildomain,0.83,mobile
3000025,C247,0.86,15.98
3000025,D48,0.32,2.39
3000026,P_emaildomain,1.27,mobile
3000026,D114,1.26,17.97
3000026,P_emaildomain,0.38,mobile
3000026,DeviceType,0.71,mobile
3000027,D322,0.85,15.61
3000027,P_emaildomain,1.53,mobile
3000028,P_emaildomain,0.33,mobile
3000028,V233,0.81,0.25
3000028,C101,0.79,9.17
3000028,P_emaildomain,0.31,mobile
3000029,D233,0.3,16.74
3000029,V9,0.28,13.0
3000029,C293,0.36,4.82
3000030,D68,1.1,18.21
3000030,DeviceType,1.03,mobile
3000031,P_emaildomain,1.31,mobile
3000031,D41,1.37,13.96
3000031,P_emaildomain,0.88,mobile
3000031,V186,0.38,17.02
3000032,V66,1.18,5.42
3000032,D208,1.04,1.09
3000032,TransactionAmt,0.4,24.12
3000033,DeviceType,1.29,mobile
3000033,D296,1.52,2.9
3000033,P_emaildomain,1.09,mobile
3000034,V51,0.74,10.17
3000034,V41,0.55,2.68
3000034,P_emaildomain,1.07,mobile
3000035,C285,0.61,11.77
3000035,TransactionAmt,0.48,49.51
3000035,C119,1.09,14.04
3000035,C210,0.95,15.75
3000036,C213,0.89,7.21
3000036,C301,0.88,18.42
